tweet_id,priority,eventID,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,num
1128285482784366592,7.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128285482784366592,7.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128285665186197504,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128285665186197504,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128285665186197504,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128285757624311808,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128285757624311808,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128286330356686848,2.5,45,13.0,15.0,7.0,10.0,0,0,0,0,0,0,4
1128286330356686848,2.5,45,13.0,15.0,7.0,10.0,0,0,0,0,0,0,4
1128286330356686848,2.5,45,13.0,15.0,7.0,10.0,0,0,0,0,0,0,4
1128286330356686848,2.5,45,13.0,15.0,7.0,10.0,0,0,0,0,0,0,4
1128286351760265216,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128286351760265216,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128286351760265216,2.5,45,13.0,7.0,10.0,0,0,0,0,0,0,0,3
1128286441790771200,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128286441790771200,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128286900639473664,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128286900639473664,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128287022165008384,2.5,45,13.0,7.0,10.0,21.0,0,0,0,0,0,0,4
1128287022165008384,2.5,45,13.0,7.0,10.0,21.0,0,0,0,0,0,0,4
1128287022165008384,2.5,45,13.0,7.0,10.0,21.0,0,0,0,0,0,0,4
1128287022165008384,2.5,45,13.0,7.0,10.0,21.0,0,0,0,0,0,0,4
1128287133926592512,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128287133926592512,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288164173320192,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288164173320192,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288306037288960,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288306037288960,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288379718766592,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288379718766592,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128288609654775808,2.5,45,13.0,7.0,17.0,0,0,0,0,0,0,0,3
1128288609654775808,2.5,45,13.0,7.0,17.0,0,0,0,0,0,0,0,3
1128288609654775808,2.5,45,13.0,7.0,17.0,0,0,0,0,0,0,0,3
1128288611152089088,7.5,45,14.0,13.0,15.0,10.0,1.0,0,0,0,0,0,5
1128288611152089088,7.5,45,14.0,13.0,15.0,10.0,1.0,0,0,0,0,0,5
1128288611152089088,7.5,45,14.0,13.0,15.0,10.0,1.0,0,0,0,0,0,5
1128288611152089088,7.5,45,14.0,13.0,15.0,10.0,1.0,0,0,0,0,0,5
1128288611152089088,7.5,45,14.0,13.0,15.0,10.0,1.0,0,0,0,0,0,5
1128288705771397120,2.5,45,13.0,15.0,10.0,0,0,0,0,0,0,0,3
1128288705771397120,2.5,45,13.0,15.0,10.0,0,0,0,0,0,0,0,3
1128288705771397120,2.5,45,13.0,15.0,10.0,0,0,0,0,0,0,0,3
1128288857638748160,2.5,45,13.0,15.0,17.0,0,0,0,0,0,0,0,3
1128288857638748160,2.5,45,13.0,15.0,17.0,0,0,0,0,0,0,0,3
1128288857638748160,2.5,45,13.0,15.0,17.0,0,0,0,0,0,0,0,3
1128289127542034432,2.5,45,13.0,7.0,21.0,0,0,0,0,0,0,0,3
1128289127542034432,2.5,45,13.0,7.0,21.0,0,0,0,0,0,0,0,3
1128289127542034432,2.5,45,13.0,7.0,21.0,0,0,0,0,0,0,0,3
1128289201307435008,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289201307435008,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289245330792448,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289245330792448,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289504673042432,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289504673042432,2.5,45,13.0,7.0,0,0,0,0,0,0,0,0,2
1128289674278199296,2.5,45,13.0,15.0,10.0,0,0,0,0,0,0,0,3
