tweet_id,priority,postCategories_x,timestamp,positive_sentiment,negative_sentiment,numb_of_mentions,numb_of_urls,numb_of_media,numb_of_hashtags,numb_of_personal_pronouns,numb_of_present_tenses,numb_of_past_tenses,sent_from_web,numb_of_weird_chars,numb_of_questions,numb_of_emoticons,numb_of_swearing_words,numb_of_slang_words,numb_of_intensifiers,tweet_length,userFollowersCount,userFriendsCount,user_numb_of_tweets,user_list_count,tfidf_fire,dict_precision,dict_recall,dict_f_measure
1128285482784366592,0.75,12,155783919612.0,30.0,600.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,2190.0,44160.0,48600.0,0.0,290.0,0.0,0.0,0.0,0.0
1128285482784366592,0.75,12,155783919612.0,30.0,600.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,2190.0,44160.0,48600.0,0.0,290.0,0.0,0.0,0.0,0.0
1128285757624311808,0.25,12,155783926112.0,30.0,650.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,1140.0,46800.0,40.0,0.0,1070.0,0.0,0.0,0.0,0.0
1128285757624311808,0.25,12,155783926112.0,30.0,650.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,1140.0,46800.0,40.0,0.0,1070.0,0.0,0.0,0.0,0.0
1128286351760265216,0.25,12,155783940312.0,30.0,540.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,2350.0,130.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
1128286351760265216,0.25,12,155783940312.0,30.0,540.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,2350.0,130.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
1128286351760265216,0.25,12,155783940312.0,30.0,540.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,2350.0,130.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
1128286441790771200,0.25,12,155783942412.0,80.0,570.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,750.0,1754860.0,1882450.0,0.0,10490.0,0.0,0.0,0.0,0.0
1128286441790771200,0.25,12,155783942412.0,80.0,570.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,750.0,1754860.0,1882450.0,0.0,10490.0,0.0,0.0,0.0,0.0
1128286900639473664,0.25,12,155783953412.0,150.0,140.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,1480.0,95880.0,12720.0,0.0,2930.0,0.0,0.0,0.0,0.0
