tweet_id,priority_x,postCategories_x,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure,priority_y
1148495760876552192,0.25,24,13.0,9.0,4.0,32.0,290.0,2199.0,7.0,0.0,0.0,0.0,0.25875
1155557480778235904,0.25,22,4.0,31.0,14.0,56.0,685.0,156.0,208.0,0.0,0.0,0.0,0.25
1155557480778235904,0.25,22,4.0,31.0,14.0,56.0,685.0,156.0,208.0,0.0,0.0,0.0,0.25
1155557480778235904,0.25,22,4.0,31.0,14.0,56.0,685.0,156.0,208.0,0.0,0.0,0.0,0.25
1155557480778235904,0.25,22,4.0,31.0,14.0,56.0,685.0,156.0,208.0,0.0,0.0,0.0,0.25
1155557480778235904,0.25,22,4.0,31.0,14.0,56.0,685.0,156.0,208.0,0.0,0.0,0.0,0.25
1155560224712843264,0.25,11,2.0,61.0,30.0,117.0,3316.0,3797.0,1.0,0.0,0.0,0.0,0.25
1155561005637918720,0.25,16,10.0,41.0,27.0,107.0,1125.0,4994.0,1.0,0.0,0.0,0.0,0.2625
1155561005637918720,0.25,16,10.0,41.0,27.0,107.0,1125.0,4994.0,1.0,0.0,0.0,0.0,0.2625
1155561005637918720,0.25,16,10.0,41.0,27.0,107.0,1125.0,4994.0,1.0,0.0,0.0,0.0,0.2625
1155561059001884672,0.25,16,2.0,47.0,21.0,90.0,1166192.0,2274.0,3463.0,0.0,0.0,0.0,0.2675
1155561059001884672,0.25,16,2.0,47.0,21.0,90.0,1166192.0,2274.0,3463.0,0.0,0.0,0.0,0.2675
1155561059001884672,0.25,16,2.0,47.0,21.0,90.0,1166192.0,2274.0,3463.0,0.0,0.0,0.0,0.2675
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
1155564206357405696,0.25,22,7.0,46.0,9.0,56.0,611862.0,892.0,4013.0,0.0,0.0,0.0,0.25
