tweet_id,timestamp,positive_sentiment,negative_sentiment,numb_of_mentions,numb_of_urls,numb_of_media,numb_of_hashtags,numb_of_personal_pronouns,numb_of_present_tenses,numb_of_past_tenses,sent_from_web,numb_of_weird_chars,numb_of_questions,numb_of_emoticons,numb_of_swearing_words,numb_of_slang_words,numb_of_intensifiers,tweet_length,userFollowersCount,userFriendsCount,user_numb_of_tweets,user_list_count,tfidf_fire,dict_precision,dict_recall,dict_f_measure
1157803414119538688,156487681912.0,20.0,660.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,680.0,700.0,1400.0,0.0,10.0,0.0,0.0,0.0,0.0
1157803414119538688,156487681912.0,20.0,660.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,680.0,700.0,1400.0,0.0,10.0,0.0,0.0,0.0,0.0
1157803414119538688,156487681912.0,20.0,660.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,680.0,700.0,1400.0,0.0,10.0,0.0,0.0,0.0,0.0
1157806994369187840,156487767312.0,10.0,680.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,510.0,12880.0,35100.0,0.0,330.0,0.0,0.0,0.0,0.0
1157806994369187840,156487767312.0,10.0,680.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,510.0,12880.0,35100.0,0.0,330.0,0.0,0.0,0.0,0.0
1157806994369187840,156487767312.0,10.0,680.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,510.0,12880.0,35100.0,0.0,330.0,0.0,0.0,0.0,0.0
1157807023003713536,156487767912.0,60.0,630.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,610.0,13490.0,15330.0,0.0,230.0,0.0,0.0,0.0,0.0
1157807023003713536,156487767912.0,60.0,630.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,610.0,13490.0,15330.0,0.0,230.0,0.0,0.0,0.0,0.0
1157807023003713536,156487767912.0,60.0,630.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,610.0,13490.0,15330.0,0.0,230.0,0.0,0.0,0.0,0.0
1157813395858440192,156487919912.0,30.0,160.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,20.0,0.0,0.0,0.0,0.0,750.0,18600.0,15660.0,0.0,0.0,0.0,0.0,0.0,0.0
