eventID,postID,postPriority,num,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,index,timestamp,tweet_id,positive_sentiment,negative_sentiment,numb_of_mentions,numb_of_urls,numb_of_media,numb_of_hashtags,numb_of_personal_pronouns,numb_of_present_tenses,numb_of_past_tenses,sent_from_web,numb_of_weird_chars,numb_of_questions,numb_of_emoticons,numb_of_swearing_words,numb_of_slang_words,numb_of_intensifiers,tweet_length,userFollowersCount,userFriendsCount,user_numb_of_tweets,user_list_count,tfidf_fire,dict_precision,dict_recall,dict_f_measure
45.0,1.1282854827843666e+18,7.5,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20682.0,155783919612.0,1.1282854827843666e+18,3.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,219.0,4416.0,4860.0,0.0,29.0,0.0,0.0,0.0,0.0
45.0,1.1282854827843666e+18,7.5,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30182.0,155783919612.0,1.1282854827843666e+18,3.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,219.0,4416.0,4860.0,0.0,29.0,0.0,0.0,0.0,0.0
45.0,1.1282857576243118e+18,2.5,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20489.0,155783926112.0,1.1282857576243118e+18,3.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,114.0,4680.0,4.0,0.0,107.0,0.0,0.0,0.0,0.0
45.0,1.1282857576243118e+18,2.5,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29989.0,155783926112.0,1.1282857576243118e+18,3.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,114.0,4680.0,4.0,0.0,107.0,0.0,0.0,0.0,0.0
45.0,1.1282863517602652e+18,2.5,3.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203.0,155783940312.0,1.1282863517602652e+18,3.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,235.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1.1282863517602652e+18,2.5,3.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20347.0,155783940312.0,1.1282863517602652e+18,3.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,235.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1.1282863517602652e+18,2.5,3.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29847.0,155783940312.0,1.1282863517602652e+18,3.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,235.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1.1282863901549322e+18,2.5,4.0,13.0,15.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20580.0,155783941212.0,1.1282863901549322e+18,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,155.0,1303.0,317.0,0.0,31.0,0.0,0.0,0.0,0.0
45.0,1.1282863901549322e+18,2.5,4.0,13.0,15.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30080.0,155783941212.0,1.1282863901549322e+18,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,155.0,1303.0,317.0,0.0,31.0,0.0,0.0,0.0,0.0
45.0,1.1282864417907712e+18,2.5,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11214.0,155783942412.0,1.1282864417907712e+18,8.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,75.0,175486.0,188245.0,0.0,1049.0,0.0,0.0,0.0,0.0
