tweet_id,priority,postCategories_x,timestamp,positive_sentiment,negative_sentiment,numb_of_mentions,numb_of_urls,numb_of_hashtagsnumb_of_personal_pronouns,numb_of_present_tenses,numb_of_past_tenses,sent_from_web,numb_of_weird_chars,numb_of_questions,numb_of_emoticons,numb_of_swearing_words,here?,numb_of_slang_words,numb_of_intensifiers,tweet_length,userFollowersCount,userFriendsCount,user_numb_of_tweets,user_list_count,tfidf_fire,dict_precision,dict_recall,dict_f_measure
1128285482784366592,0.75,12,155783919612.0,10.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,1430.0,44160.0,48600.0,0.0,290.0,0.0,0.0,0.0,0.0
1128285482784366592,0.75,12,155783919612.0,10.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,1430.0,44160.0,48600.0,0.0,290.0,0.0,0.0,0.0,0.0
1128285757624311808,0.25,12,155783926112.0,110.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,780.0,46800.0,40.0,0.0,1070.0,0.0,0.0,0.0,0.0
1128285757624311808,0.25,12,155783926112.0,110.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,780.0,46800.0,40.0,0.0,1070.0,0.0,0.0,0.0,0.0
1128286900639473664,0.25,12,155783953412.0,10.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,1040.0,95880.0,12720.0,0.0,2930.0,0.0,0.0,0.0,0.0
1128286900639473664,0.25,12,155783953412.0,10.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,1040.0,95880.0,12720.0,0.0,2930.0,0.0,0.0,0.0,0.0
1128288164173320192,0.25,12,155783983512.0,30.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,1020.0,1230.0,4530.0,0.0,40.0,0.0,0.0,0.0,0.0
1128288164173320192,0.25,12,155783983512.0,30.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,1020.0,1230.0,4530.0,0.0,40.0,0.0,0.0,0.0,0.0
1128288379718766592,0.25,12,155783988612.0,10.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,860.0,1050790.0,20.0,0.0,24700.0,0.0,0.0,0.0,0.0
1128288379718766592,0.25,12,155783988612.0,10.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,860.0,1050790.0,20.0,0.0,24700.0,0.0,0.0,0.0,0.0
