tweet_id,category
1155671863911051265,Irrelevant
1155716993351204864,Location
1155716993351204864,MultimediaShare
1155716993351204864,News
1155914024690814979,InformationWanted
1155914024690814979,News
1155670898491314177,ThirdPartyObservation
1155670898491314177,Location
1155670898491314177,MultimediaShare
1155892936216727552,Location
1155892936216727552,Hashtags
1155892936216727552,News
1155892936216727552,ContextualInformation
1155892936216727552,Discussion
1155726076850524160,MultimediaShare
1155726076850524160,Official
1155726076850524160,Hashtags
1155726076850524160,News
1155897310645235713,Location
1155897310645235713,MultimediaShare
1155897310645235713,Factoid
1155897310645235713,News
1155661640463015937,Factoid
1155661640463015937,Hashtags
1155689172008443906,Irrelevant
1155711162903748608,Irrelevant
1155742918675750912,Irrelevant
1155662560386883584,Irrelevant
1155846251541385216,MultimediaShare
1155846251541385216,Factoid
1155846251541385216,News
1155664770738954240,News
1155802472281071616,Irrelevant
1155870391472201728,MultimediaShare
1155870391472201728,News
1155870391472201728,ContextualInformation
1155676728276262912,Irrelevant
1155905844917219328,InformationWanted
1155905844917219328,News
1155878669304369152,Location
1155878669304369152,EmergingThreats
1155878669304369152,News
1155921096916385792,ThirdPartyObservation
1155921096916385792,Hashtags
1155921096916385792,Sentiment
1155876667501318144,ThirdPartyObservation
1155876667501318144,MultimediaShare
1155876667501318144,ContextualInformation
1155684327457480704,Irrelevant
1155692458589581312,Location
1155692458589581312,MultimediaShare
1155692458589581312,Factoid
1155692458589581312,News
1155656085027487744,Location
1155656085027487744,MultimediaShare
1155656085027487744,Advice
1155641425293402112,Irrelevant
1155682973980745729,Irrelevant
1155741385154338816,Location
1155741385154338816,MultimediaShare
1155741385154338816,News
1155347399528730624,Irrelevant
1155675349918916608,ThirdPartyObservation
1155675349918916608,Location
1155655767640305666,Location
1155655767640305666,MultimediaShare
1155655767640305666,Factoid
1155655767640305666,Hashtags
1155655767640305666,News
1155721500714045440,ThirdPartyObservation
1155721500714045440,MultimediaShare
1155721500714045440,News
1155714804608167942,Irrelevant
1155781797550051329,ThirdPartyObservation
1155781797550051329,Location
1155781797550051329,Factoid
1155879314262544391,Irrelevant
1155695997047193600,MultimediaShare
1155695997047193600,News
1155695997047193600,Sentiment
1155691927767003143,Location
1155691927767003143,MultimediaShare
1155691927767003143,Factoid
1155691927767003143,Official
1155691927767003143,News
1155686419974635520,Location
1155686419974635520,Factoid
1155686419974635520,Official
1155686419974635520,Hashtags
1155686419974635520,Sentiment
1155657574328328192,Irrelevant
1155212175046148096,Irrelevant
1155684061547048967,ThirdPartyObservation
1155684061547048967,Factoid
1155706415123783680,MultimediaShare
1155706415123783680,Factoid
1155706415123783680,News
1155857632898506753,Irrelevant
1155658954422153218,Factoid
1155658954422153218,Discussion
1155670821534408704,Location
1155670821534408704,Discussion
1155353108190416897,Irrelevant
1155903282931539974,Irrelevant
1155226910219284480,Irrelevant
1155677300614033408,Hashtags
1155677300614033408,Sentiment
1155815748679294977,Irrelevant
1155201412705292288,Irrelevant
1155669307923320832,Location
1155669307923320832,MultimediaShare
1155669307923320832,News
1154970247432007681,Irrelevant
1155725057559166976,ThirdPartyObservation
1155725057559166976,Discussion
1155681358326353920,Irrelevant
1155155122042953728,Irrelevant
1155678120130875393,ThirdPartyObservation
1155678120130875393,Location
1155678120130875393,MultimediaShare
1155678120130875393,Hashtags
1155678120130875393,News
1154935817728434176,Irrelevant
1155508302362664966,Irrelevant
1155717384256122881,Irrelevant
1155886489651294208,Irrelevant
1155654107346006017,Irrelevant
1155888239091298304,Location
1155888239091298304,MultimediaShare
1155888239091298304,Factoid
1155888239091298304,News
1155686646941147138,Irrelevant
1155676581643411456,ThirdPartyObservation
1155686820258168832,Location
1155686820258168832,MultimediaShare
1155686820258168832,News
1155744546887626752,Irrelevant
1155719403012419584,Irrelevant
1155745093565001730,MultimediaShare
1155745093565001730,News
1155833119687229442,MultimediaShare
1155833119687229442,Factoid
1155833119687229442,News
1155686354245652480,Irrelevant
1155893392762519553,ThirdPartyObservation
1155893392762519553,Location
1155893392762519553,Factoid
1155893392762519553,ContextualInformation
1155893392762519553,Discussion
1155330276622512130,Irrelevant
1155831757419241473,ThirdPartyObservation
1155856444601692160,ThirdPartyObservation
1155856444601692160,Location
1155856444601692160,Factoid
1155488175181066240,Irrelevant
1155904789240111110,Irrelevant
1155707298611777536,Irrelevant
1155685409151520769,Irrelevant
1155670938106466304,ThirdPartyObservation
1155670938106466304,Hashtags
1155900436198625282,Irrelevant
1155690822043676673,ThirdPartyObservation
1155690822043676673,MultimediaShare
1155690822043676673,News
1155909708059951104,Factoid
1154921098988814337,Irrelevant
1155837937818488837,MultimediaShare
1155837937818488837,News
1155526937713860608,Irrelevant
1154924992200622080,Irrelevant
1155825314695696385,ThirdPartyObservation
1155825314695696385,Location
1155825314695696385,Factoid
1155669340038942720,Irrelevant
1155865128836968451,ThirdPartyObservation
1155865128836968451,Location
1155865128836968451,EmergingThreats
1155880334556323841,ThirdPartyObservation
1155880334556323841,MultimediaShare
1155880334556323841,Factoid
1155880334556323841,Sentiment
