Request-SearchAndRescue,rescue
Request-SearchAndRescue,rescues
Request-SearchAndRescue,rescuing
Request-SearchAndRescue,saving
Request-SearchAndRescue,army
Request-SearchAndRescue,evacs
Request-SearchAndRescue,victms
Request-SearchAndRescue,rescuing
Request-GoodsServices,food
Request-GoodsServices,unicef
Request-GoodsServices,water
Request-GoodsServices,fuel
Request-InformationWanted,person
Request-InformationWanted,lost
CallToAction-Volunteer,volunteer
CallToAction-Donations,donate
CallToAction-Donations,contributions
CallToAction-Donations,donations
CallToAction-Donations,donated
CallToAction-Donations,donors
CallToAction-Donations,funds
CallToAction-Donations,fundraising
CallToAction-MovePeople,evacuate
CallToAction-MovePeople,evacs
CallToAction-MovePeople,issuing
CallToAction-MovePeople,issued
CallToAction-MovePeople,recommended
CallToAction-MovePeople,evacuation
CallToAction-MovePeople,leave
Report-FirstPartyObservation,i
Report-FirstPartyObservation,we
Report-FirstPartyObservation,experienced
Report-ThirdPartyObservation,reported
Report-ThirdPartyObservation,heard
Report-ThirdPartyObservation,sources
Report-ThirdPartyObservation,tell
Report-ThirdPartyObservation,reportedly
Report-Weather,weather
Report-Weather,hurricane
Report-Weather,storm
Report-Weather,hurricanes
Report-Weather,storms
Report-Weather,supertyphoon 
Report-Weather,forecasts
Report-Weather,forecast
Report-Weather,forecasted
Report-Weather,forecasting
Report-Weather,hurricanes
Report-Weather,projection
Report-Weather,rain
Report-Weather,wind
Report-Weather,winds
Report-Weather,kph
Report-Weather,pressure
Report-Weather,track
Report-Weather,rains
Report-EmergingThreats,building
Report-EmergingThreats,damaged
Report-EmergingThreats,road
Report-EmergingThreats,blocked
Report-EmergingThreats,blocking
Report-EmergingThreats,building
Report-EmergingThreats,collapse
Report-EmergingThreats,collapses
Report-EmergingThreats,power
Report-EmergingThreats,outage
Report-EmergingThreats,outages
Report-EmergingThreats,lack
Report-EmergingThreats,electricity
Report-EmergingThreats,blackout
Report-EmergingThreats,blackouts
Report-EmergingThreats,generators
Report-EmergingThreats,energy
Report-EmergingThreats,utilities
Report-EmergingThreats,utility
Report-EmergingThreats,electric
Report-EmergingThreats,unexploded
Report-EmergingThreats,bomb
Report-EmergingThreats,bombs
Report-EmergingThreats,refuse
Report-EmergingThreats,disease
Report-EmergingThreats,spread
Report-EmergingThreats,spreading
Report-EmergingThreats,contaminated
Report-EmergingThreats,water
Report-EmergingThreats,theft
Report-EmergingThreats,looting
Report-EmergingThreats,stealing
Report-EmergingThreats,thievery
Report-EmergingThreats,stolen
Report-EmergingThreats,gathering
Report-EmergingThreats,gathered
Report-EmergingThreats,crowd
Report-EmergingThreats,looters
Report-EmergingThreats,sewage
Report-SignificantEventChange,people
Report-SignificantEventChange,rubble
Report-SignificantEventChange,trapped
Report-SignificantEventChange,bomb
Report-SignificantEventChange,found
Report-SignificantEventChange,shooting
Report-SignificantEventChange,gunman
Report-SignificantEventChange,shot
Report-SignificantEventChange,shoot
Report-SignificantEventChange,person
Report-SignificantEventChange,riot
Report-SignificantEventChange,beaten
Report-SignificantEventChange,shop
Report-SignificantEventChange,smashed
Report-SignificantEventChange,smashing
Report-SignificantEventChange,hostage
Report-SignificantEventChange,taken
Report-SignificantEventChange,masacre
Report-MultimediaShare,video
Report-MultimediaShare,share
Report-MultimediaShare,photo
Report-MultimediaShare,pictures
Report-MultimediaShare,image
Report-MultimediaShare,photos
Report-MultimediaShare,picture
Report-MultimediaShare,photographs
Report-MultimediaShare,images
Report-MultimediaShare,map
Report-MultimediaShare,[video]
Report-MultimediaShare,scene
Report-MultimediaShare,view
Report-MultimediaShare,pic
Report-ServiceAvailable,shelter
Report-ServiceAvailable,available
Report-ServiceAvailable,hospital
Report-ServiceAvailable,open
Report-ServiceAvailable,animal
Report-ServiceAvailable,housing
Report-Factoid,injured
Report-Factoid,dead
Report-Factoid,riot
Report-Factoid,killed
Report-Factoid,wounded
Report-Factoid,injuried
Report-Factoid,victms
Report-Factoid,missing
Report-Factoid,scale
Report-Factoid,magnitude
Report-Factoid,richter
Report-Factoid,shot
Report-Factoid,acres
Report-Factoid,miles
Report-Factoid,sq
Report-Factoid,mi
Report-Factoid,died
Report-Factoid,km
Report-Factoid,kilometers
Report-Factoid,worth
Report-Official,report
Report-Official,sitrep
Report-Official,official
Report-Official,reports
Report-Official,officials
Report-Official,statement
Report-Official,official
Report-Official,government
Report-Official,statement
Report-Official,police
Report-Official,confirm
Report-Official,confirmed
Report-Official,said
Report-Official,mayor
Report-Official,according
Report-Official,authorities
Report-Official,declares
Report-Official,declaration
Report-Official,briefing
Report-CleanUp,aftermath
Report-CleanUp,cleanup
Report-CleanUp,repaired
Report-CleanUp,restored
Report-Hashtags,#
Other-PastNews,was
Other-ContinuingNews,news
Other-ContinuingNews,update
Other-Advice,advice
Other-Sentiment,praying
Other-Sentiment,pray
Other-Sentiment,prayers
Other-Sentiment,hope
Other-Sentiment,prayed
Other-Sentiment,prays
Other-Sentiment,sad
Other-Sentiment,depressed
Other-Sentiment,deary
Other-Sentiment,happy
Other-Sentiment,relieved
Other-Sentiment,thankful
Other-Sentiment,grateful
Other-Sentiment,pls
Other-Sentiment,please
Other-Discussion,causes
Other-Discussion,blame
Other-Discussion,blaming
Other-Discussion,blamed
