tweet_id,priority,label_id,eventID
211565974422425600,0.75,19.0,1
211654415503990784,0.5,15.0,1
211681309368655872,0.25,15.0,1
211685621125742592,0.25,16.0,1
211877049147736064,0.25,7.0,1
211884082991333376,0.75,8.0,1
211893016892424192,0.5,7.0,1
211904811250089984,0.5,14.0,1
211910322582335488,0.75,19.0,1
211964198396231680,0.5,12.0,1
212000114246553600,0.5,13.0,1
212032414564880384,0.5,13.0,1
212099863171710976,0.25,15.0,1
212137133736075264,0.25,15.0,1
212158197543337984,0.25,7.0,1
212169203422199808,0.25,18.0,1
212176367289253888,0.25,18.0,1
212197095518633984,0.25,4.0,1
212201952547840000,0.25,11.0,1
212202460046049280,0.5,7.0,1
212214560617275392,0.25,11.0,1
212227898512388096,0.25,18.0,1
212231669170716672,0.25,18.0,1
212242750534451200,0.5,21.0,1
212298199229149184,0.25,15.0,1
212306336183091200,0.25,15.0,1
212311994286620672,0.0,13.0,1
212315735609966592,0.5,7.0,1
212319443383103488,0.25,11.0,1
212337210442264576,0.75,20.0,1
212373109477617664,0.25,7.0,1
212384295719931904,0.5,7.0,1
212414263984275456,0.25,15.0,1
212452734148939776,0.5,7.0,1
212462741770862592,0.25,15.0,1
212525333348491264,0.25,15.0,1
212552860590813184,0.5,13.0,1
212559890248499200,0.5,7.0,1
212587354542706688,0.25,15.0,1
212590940664238080,0.25,18.0,1
212595864772952064,0.25,11.0,1
212604953846480896,0.25,11.0,1
212617058616225792,0.5,13.0,1
212617469645438976,0.25,15.0,1
212659349779267584,0.25,11.0,1
212678790353137664,0.75,6.0,1
212679595655299072,0.5,19.0,1
212692916794163200,0.25,4.0,1
212824504689360896,0.25,15.0,1
212841818780467200,0.25,15.0,1
212847581733208064,0.25,15.0,1
212887096262791168,0.25,15.0,1
213003463032963072,0.25,15.0,1
213007598637678592,0.25,15.0,1
213015790109196288,0.5,13.0,1
213070509003374592,0.5,7.0,1
213125177540739072,0.25,11.0,1
213138934887223296,0.25,13.0,1
213275195224494080,0.5,5.0,1
213303712284811264,0.75,16.0,1
213307550081359872,0.25,11.0,1
213336062980915200,0.5,16.0,1
213356292113305600,0.5,22.0,1
213391209673134080,0.25,7.0,1
213413158474358784,0.25,18.0,1
213416409043181568,0.25,15.0,1
213469647377408000,0.25,7.0,1
213470175830351872,0.25,15.0,1
213553466344341504,0.25,7.0,1
213597628162777088,0.25,15.0,1
213627768435519488,0.5,7.0,1
213671603081457664,0.25,15.0,1
213689735082807296,0.5,1.0,1
213748442739118080,0.5,5.0,1
213751626211667968,0.5,7.0,1
213824988795518976,0.5,13.0,1
213967951626383360,0.25,7.0,1
214012344139911168,0.75,6.0,1
214044891943145472,0.25,11.0,1
214182184104370176,0.25,15.0,1
214194607657992192,0.5,7.0,1
214201167515885568,0.25,15.0,1
214226740220928000,0.25,15.0,1
214349314556821504,0.25,15.0,1
214350006621192192,0.25,11.0,1
214385830171648000,0.25,7.0,1
214425449537867776,0.75,14.0,1
214426300994162688,0.75,14.0,1
214479962911154176,0.25,11.0,1
214490071183802368,0.5,13.0,1
214570425664024576,0.5,13.0,1
214794103693643776,0.75,22.0,1
214826689233027072,0.25,15.0,1
214850416427548672,0.25,15.0,1
214886101553397760,0.5,7.0,1
214949230027096064,0.75,8.0,1
215023850889547776,0.25,7.0,1
215062358802968576,0.5,13.0,1
215119355187445760,0.25,15.0,1
215138435093110784,0.5,5.0,1
215174099247435776,0.25,11.0,1
215249416393719808,0.5,5.0,1
215317343130238976,0.25,15.0,1
215352826958843904,0.25,7.0,1
215465313989427200,0.5,7.0,1
215578157523275776,0.25,15.0,1
215763893904089088,0.5,2.0,1
215821620097462272,0.25,11.0,1
215855174546231296,0.75,22.0,1
215869691003011072,0.75,5.0,1
216305818927251456,0.75,12.0,1
216336307352371200,0.5,13.0,1
216349737488621568,0.5,13.0,1
216366107873914880,0.5,13.0,1
216550187492057088,0.5,5.0,1
216608731599872000,0.25,11.0,1
216650766893596672,0.25,11.0,1
216664859759214592,0.5,9.0,1
216685898392276992,0.75,19.0,1
216743465193713664,0.25,11.0,1
216759722336980992,0.5,13.0,1
216774209446215680,0.75,12.0,1
216868350607884288,0.25,15.0,1
216900122443923456,0.25,15.0,1
216951989232349184,0.75,22.0,1
216961334129078272,0.25,4.0,1
216979315110318080,0.25,4.0,1
216983274558464000,0.75,14.0,1
216984293770141696,0.75,14.0,1
217008167752699904,0.5,13.0,1
217039595639029760,0.25,18.0,1
217048223334932480,0.25,15.0,1
217088622871060480,0.25,11.0,1
217103105794375680,0.25,11.0,1
217276200555528192,0.5,13.0,1
217352981446787072,0.25,7.0,1
