tweet_id,priority,category,postCategories_x,eventID,eventType,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1155790457470967808,0.25,Location,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,EmergingThreats,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,MultimediaShare,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,OriginalEvent,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,Location,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,MultimediaShare,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155790457470967808,0.25,Factoid,18,siberianWildfires2020,Unknown,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1155847346028257280,0.25,Location,18,siberianWildfires2020,Unknown,6.0,53.0,46.0,237.0,1832.0,3371.0,19.0,0.0,0.0,0.0
1155847346028257280,0.25,MultimediaShare,18,siberianWildfires2020,Unknown,6.0,53.0,46.0,237.0,1832.0,3371.0,19.0,0.0,0.0,0.0
1155847346028257280,0.25,OriginalEvent,18,siberianWildfires2020,Unknown,6.0,53.0,46.0,237.0,1832.0,3371.0,19.0,0.0,0.0,0.0
1155847346028257280,0.25,Location,18,siberianWildfires2020,Unknown,6.0,53.0,46.0,237.0,1832.0,3371.0,19.0,0.0,0.0,0.0
1155847346028257280,0.25,Factoid,18,siberianWildfires2020,Unknown,6.0,53.0,46.0,237.0,1832.0,3371.0,19.0,0.0,0.0,0.0
