tweet_id,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1.1479381924165507e+18,1.0,66.0,75.0,276.0,51.0,12.0,0.0,0.0,0.0,0.0
1.1482753626291282e+18,1.0,66.0,79.0,276.0,51.0,12.0,0.0,0.0,0.0,0.0
1.1482753650156339e+18,1.0,66.0,78.0,276.0,51.0,12.0,0.0,0.0,0.0,0.0
1.1484012254923245e+18,64.0,4.0,18.0,62.0,1608.0,837.0,10.0,0.0,0.0,0.0
1.1484892692641667e+18,1.0,62.0,77.0,276.0,51.0,12.0,0.0,0.0,0.0,0.0
1.1484957608765522e+18,13.0,9.0,4.0,32.0,290.0,2199.0,7.0,0.0,0.0,0.0
1.1486290553879634e+18,1.0,65.0,76.0,276.0,51.0,12.0,0.0,0.0,0.0,0.0
1.1487053614712955e+18,9.0,45.0,48.0,197.0,455.0,198.0,10.0,0.0,0.0,0.0
1.1489571912123267e+18,8.0,41.0,13.0,62.0,1958.0,390.0,49.0,0.0,0.0,0.0
1.1489597574930555e+18,40.0,17.0,7.0,37.0,4602.0,2413.0,21.0,0.0,0.0,0.0
1.1489614770863309e+18,7.0,14.0,4.0,32.0,991.0,1271.0,6.0,0.0,0.0,0.0
1.148962489616556e+18,5.0,41.0,6.0,36.0,2301.0,616.0,63.0,0.0,0.0,0.0
1.1489670690708355e+18,12.0,26.0,6.0,35.0,1728.0,2128.0,11.0,0.0,0.0,0.0
1.1489706261133107e+18,4.0,13.0,13.0,75.0,966.0,3634.0,74.0,0.0,0.0,0.0
1.148971247486808e+18,14.0,35.0,12.0,70.0,452.0,2132.0,6.0,0.0,0.0,0.0
1.1489731973055693e+18,33.0,14.0,11.0,47.0,3145.0,935.0,97.0,0.0,0.0,0.0
1.1489861477767661e+18,24.0,14.0,19.0,68.0,140.0,778.0,3.0,0.0,0.0,0.0
1.1489918605699768e+18,19.0,14.0,11.0,43.0,307.0,291.0,11.0,0.0,0.0,0.0
1.1489992065956946e+18,41.0,1.0,7.0,37.0,1008.0,951.0,5.0,0.0,0.0,0.0
1.1490013673163899e+18,24.0,11.0,13.0,54.0,140.0,778.0,3.0,0.0,0.0,0.0
1.149007899227824e+18,24.0,14.0,19.0,68.0,140.0,778.0,3.0,0.0,0.0,0.0
1.1490101074198118e+18,22.0,26.0,5.0,32.0,2332.0,487.0,4.0,0.0,0.0,0.0
1.1490280452165386e+18,3.0,21.0,11.0,45.0,418.0,205.0,2.0,0.0,0.0,0.0
1.1490296967237057e+18,9.0,29.0,7.0,38.0,148.0,119.0,0.0,0.0,0.0,0.0
1.149052112099324e+18,5.0,19.0,8.0,38.0,886.0,780.0,1.0,0.0,0.0,0.0
1.1490536310874808e+18,9.0,48.0,9.0,45.0,296.0,360.0,0.0,0.0,0.0,0.0
1.1490622343851457e+18,6.0,41.0,6.0,36.0,622.0,504.0,3.0,0.0,0.0,0.0
1.1490635962124943e+18,30.0,19.0,15.0,43.0,1716.0,2222.0,42.0,0.0,0.0,0.0
1.1490665276705137e+18,17.0,35.0,8.0,51.0,999.0,1090.0,33.0,0.0,0.0,0.0
1.1490753719853875e+18,2.0,31.0,10.0,50.0,6418.0,2976.0,65.0,0.0,0.0,0.0
1.1490934385808302e+18,11.0,10.0,8.0,41.0,639.0,476.0,5.0,0.0,0.0,0.0
1.1491024647102751e+18,9.0,21.0,10.0,52.0,82.0,74.0,0.0,0.0,0.0,0.0
1.1491404446113011e+18,2.0,45.0,7.0,37.0,472.0,274.0,9.0,0.0,0.0,0.0
1.149143777958908e+18,18.0,25.0,6.0,43.0,41496.0,286.0,352.0,0.0,0.0,0.0
1.149155533607309e+18,4.0,62.0,14.0,90.0,53.0,174.0,1.0,0.0,0.0,0.0
1.1491651705870664e+18,18.0,25.0,6.0,43.0,158570.0,655.0,1563.0,0.0,0.0,0.0
1.1491894635008328e+18,17.0,29.0,11.0,57.0,2448.0,5001.0,54.0,0.0,0.0,0.0
1.1491959715549389e+18,4.0,62.0,14.0,90.0,16.0,20.0,0.0,0.0,0.0,0.0
1.1492696690120211e+18,19.0,33.0,8.0,43.0,1734.0,1274.0,94.0,0.0,0.0,0.0
1.1492753939853272e+18,4.0,62.0,14.0,90.0,8039.0,215.0,155.0,0.0,0.0,0.0
1.1492852471520051e+18,22.0,32.0,12.0,53.0,1458.0,1368.0,0.0,0.0,0.0,0.0
1.1492985471683379e+18,1.0,72.0,16.0,78.0,186.0,1473.0,7.0,0.0,0.0,0.0
1.149318413312909e+18,12.0,31.0,15.0,55.0,10838.0,1563.0,93.0,0.0,0.0,0.0
1.1493395601465384e+18,15.0,46.0,10.0,54.0,187.0,306.0,5.0,0.0,0.0,0.0
1.1493505234070771e+18,9.0,43.0,8.0,49.0,295.0,84.0,15.0,0.0,0.0,0.0
1.149353548540502e+18,18.0,38.0,13.0,52.0,591.0,168.0,3.0,0.0,0.0,0.0
1.1493601717449971e+18,17.0,34.0,6.0,42.0,16.0,0.0,1.0,0.0,0.0,0.0
1.1493892311832904e+18,12.0,40.0,7.0,57.0,20647.0,11971.0,708.0,0.0,0.0,0.0
1.1494086036710808e+18,8.0,24.0,8.0,37.0,5504.0,345.0,141.0,0.0,0.0,0.0
1.1494098855426335e+18,3.0,23.0,10.0,44.0,65.0,330.0,5.0,0.0,0.0,0.0
1.149410548771164e+18,40.0,11.0,11.0,40.0,573.0,739.0,11.0,0.0,0.0,0.0
1.1494164389161124e+18,6.0,50.0,25.0,120.0,54.0,1.0,1.0,0.0,0.0,0.0
1.1494178425482115e+18,6.0,50.0,25.0,120.0,62.0,445.0,16.0,0.0,0.0,0.0
1.1494192007478477e+18,6.0,50.0,25.0,120.0,369.0,1056.0,12.0,0.0,0.0,0.0
1.1494196233617244e+18,6.0,50.0,25.0,120.0,264.0,515.0,8.0,0.0,0.0,0.0
1.1494321721237747e+18,6.0,50.0,25.0,120.0,304.0,278.0,14.0,0.0,0.0,0.0
1.1494380299516191e+18,1.0,57.0,37.0,173.0,51.0,125.0,0.0,0.0,0.0,0.0
1.1494401350559826e+18,13.0,36.0,6.0,46.0,241911.0,527.0,1314.0,0.0,0.0,0.0
1.1494442939432672e+18,49.0,11.0,10.0,52.0,565.0,558.0,4.0,0.0,0.0,0.0
1.1494465234591251e+18,15.0,46.0,10.0,54.0,5513.0,698.0,47.0,0.0,0.0,0.0
1.1494521071555666e+18,15.0,23.0,8.0,51.0,1838.0,4877.0,31.0,0.0,0.0,0.0
1.1494752468454643e+18,32.0,17.0,6.0,38.0,49.0,300.0,0.0,0.0,0.0,0.0
1.1494762455554456e+18,8.0,5.0,8.0,35.0,14997.0,1071.0,581.0,0.0,0.0,0.0
1.1494770167998136e+18,14.0,44.0,7.0,37.0,493.0,256.0,6.0,0.0,0.0,0.0
1.1494779345093875e+18,8.0,2.0,15.0,88.0,274.0,2028.0,11.0,0.0,0.0,0.0
1.149478069561729e+18,13.0,39.0,13.0,77.0,148.0,238.0,13.0,0.0,0.0,0.0
1.1494794870100664e+18,2.0,48.0,48.0,247.0,19473.0,785.0,339.0,0.0,0.0,0.0
1.1494795685682504e+18,2.0,48.0,48.0,247.0,19473.0,785.0,339.0,0.0,0.0,0.0
1.1494816184714445e+18,4.0,56.0,12.0,57.0,30.0,158.0,0.0,0.0,0.0,0.0
1.1494833989954029e+18,1.0,65.0,8.0,64.0,193.0,801.0,0.0,0.0,0.0,0.0
1.1495030418186483e+18,8.0,47.0,10.0,67.0,473.0,995.0,5.0,0.0,0.0,0.0
1.1495092179899556e+18,16.0,6.0,20.0,91.0,259.0,241.0,3.0,0.0,0.0,0.0
1.1495162707079904e+18,15.0,23.0,8.0,51.0,685.0,2328.0,14.0,0.0,0.0,0.0
1.1495320646868582e+18,15.0,23.0,8.0,51.0,26.0,42.0,0.0,0.0,0.0,0.0
1.1495400833320755e+18,15.0,32.0,5.0,41.0,20.0,86.0,0.0,0.0,0.0,0.0
1.1495414807441572e+18,15.0,12.0,4.0,32.0,118.0,90.0,18.0,0.0,0.0,0.0
1.1495789127053066e+18,12.0,40.0,7.0,57.0,134.0,85.0,1.0,0.0,0.0,0.0
1.149609490435543e+18,36.0,21.0,8.0,53.0,4083.0,729.0,194.0,0.0,0.0,0.0
1.1496194526667694e+18,36.0,21.0,8.0,53.0,157859.0,12758.0,1666.0,0.0,0.0,0.0
1.1496363113613107e+18,15.0,32.0,5.0,41.0,1300.0,30.0,1.0,0.0,0.0,0.0
1.1496510233775268e+18,12.0,39.0,6.0,37.0,2268.0,894.0,17.0,0.0,0.0,0.0
1.1496519198638162e+18,2.0,57.0,34.0,193.0,2530.0,127.0,73.0,0.0,0.0,0.0
1.1496596932094034e+18,25.0,14.0,8.0,44.0,35.0,128.0,0.0,0.0,0.0,0.0
1.1496792924036339e+18,18.0,25.0,8.0,34.0,4008.0,1625.0,98.0,0.0,0.0,0.0
1.1496878961752557e+18,30.0,30.0,11.0,61.0,1438.0,1423.0,2.0,0.0,0.0,0.0
1.1496884249047939e+18,3.0,45.0,24.0,131.0,3096.0,2966.0,118.0,0.0,0.0,0.0
1.1496896883006872e+18,19.0,19.0,6.0,41.0,8.0,144.0,2.0,0.0,0.0,0.0
1.1496897902139064e+18,57.0,9.0,7.0,47.0,3987.0,2765.0,7.0,0.0,0.0,0.0
1.1496995069818099e+18,18.0,26.0,5.0,37.0,1884.0,2166.0,28.0,0.0,0.0,0.0
1.1497109100401048e+18,8.0,47.0,10.0,60.0,473.0,995.0,5.0,0.0,0.0,0.0
1.149710910056833e+18,8.0,47.0,10.0,60.0,79.0,133.0,1.0,0.0,0.0,0.0
1.1497109100652749e+18,8.0,47.0,10.0,60.0,585.0,1755.0,12.0,0.0,0.0,0.0
1.1497109100736512e+18,8.0,47.0,10.0,60.0,275.0,0.0,42.0,0.0,0.0,0.0
1.1497125555494502e+18,2.0,55.0,21.0,106.0,1414.0,180.0,272.0,0.0,0.0,0.0
1.1497316806447144e+18,18.0,26.0,5.0,37.0,206.0,866.0,0.0,0.0,0.0,0.0
1.1497322111025395e+18,8.0,52.0,25.0,115.0,127.0,609.0,0.0,0.0,0.0,0.0
1.1497437105669407e+18,14.0,24.0,7.0,42.0,1943.0,56.0,60.0,0.0,0.0,0.0
1.1497543032230872e+18,5.0,60.0,17.0,91.0,116716.0,2030.0,1231.0,0.0,0.0,0.0
1.1497572306165924e+18,4.0,62.0,14.0,90.0,876.0,1535.0,13.0,0.0,0.0,0.0
1.1497591981310976e+18,4.0,60.0,28.0,181.0,2530.0,127.0,73.0,0.0,0.0,0.0
1.1497620310143384e+18,5.0,60.0,17.0,91.0,2707.0,1692.0,72.0,0.0,0.0,0.0
1.1497678705843693e+18,5.0,53.0,12.0,64.0,930.0,779.0,3.0,0.0,0.0,0.0
1.1497919047935304e+18,21.0,30.0,7.0,34.0,1018.0,1012.0,0.0,0.0,0.0,0.0
1.1497923333340447e+18,13.0,18.0,8.0,50.0,57.0,55.0,1.0,0.0,0.0,0.0
1.1497938317491118e+18,5.0,60.0,17.0,91.0,63.0,224.0,2.0,0.0,0.0,0.0
1.1497950678566093e+18,4.0,61.0,24.0,114.0,26233.0,632.0,556.0,0.0,0.0,0.0
1.1497986985677742e+18,17.0,27.0,6.0,42.0,191.0,14.0,18.0,0.0,0.0,0.0
1.1498000914542017e+18,4.0,62.0,14.0,90.0,407.0,51.0,11.0,0.0,0.0,0.0
1.1498152480750715e+18,2.0,63.0,25.0,115.0,127.0,609.0,0.0,0.0,0.0,0.0
1.1498178482289746e+18,9.0,45.0,7.0,49.0,593.0,1203.0,18.0,0.0,0.0,0.0
1.1498190294874194e+18,2.0,55.0,21.0,106.0,115.0,303.0,4.0,0.0,0.0,0.0
1.1498210557138413e+18,33.0,6.0,72.0,286.0,739.0,2972.0,20.0,0.0,0.0,0.0
1.1498371062122208e+18,15.0,46.0,10.0,54.0,319.0,222.0,0.0,0.0,0.0,0.0
1.1498392163497615e+18,38.0,26.0,37.0,171.0,174.0,633.0,3.0,0.0,0.0,0.0
1.1498398074236353e+18,2.0,55.0,21.0,106.0,377.0,751.0,2.0,0.0,0.0,0.0
1.1498477063214653e+18,24.0,33.0,17.0,88.0,2490.0,59.0,1.0,0.0,0.0,0.0
1.1498512889953362e+18,33.0,3.0,7.0,40.0,552.0,365.0,398.0,0.0,0.0,0.0
1.1498568239540717e+18,40.0,24.0,10.0,57.0,29.0,86.0,0.0,0.0,0.0,0.0
1.1498610278965288e+18,17.0,27.0,6.0,42.0,435819.0,1492.0,4231.0,0.0,0.0,0.0
1.1498665673094675e+18,5.0,60.0,17.0,91.0,476.0,1550.0,2.0,0.0,0.0,0.0
1.1498687302367725e+18,9.0,45.0,7.0,49.0,246.0,890.0,9.0,0.0,0.0,0.0
1.149872087814824e+18,6.0,41.0,15.0,90.0,39156.0,937.0,385.0,0.0,0.0,0.0
1.1498731726338541e+18,43.0,17.0,45.0,175.0,4561.0,4983.0,25.0,0.0,0.0,0.0
1.14987350088849e+18,15.0,34.0,6.0,43.0,322.0,583.0,8.0,0.0,0.0,0.0
1.1498735923703683e+18,8.0,52.0,25.0,115.0,127.0,609.0,0.0,0.0,0.0,0.0
1.149877819067048e+18,36.0,6.0,8.0,45.0,548.0,2343.0,9.0,0.0,0.0,0.0
1.1498793759087859e+18,4.0,54.0,14.0,78.0,247.0,473.0,0.0,0.0,0.0,0.0
