,Unnamed: 0,Unnamed: 0.1,tweet_id,priority,postCategories_x,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
0,0,0,1.155484852411687e+18,,,20.0,660.0,150.0,990.0,180.0,420.0,0.0,1.1109999656677246e+16,1.1109999656677246e+16,1.1109999656677246e+16
1,1,1,1.1554867310236055e+18,,,10.0,390.0,520.0,2570.0,77090.0,28140.0,3920.0,0.0,0.0,0.0
2,2,2,1.1554884300187443e+18,,,20.0,630.0,170.0,980.0,5370.0,14860.0,200.0,0.0,0.0,0.0
3,3,3,1.1554935309927055e+18,,,40.0,570.0,630.0,2570.0,2950.0,21450.0,20.0,100.0,1.1109999656677246e+16,1.0529999732971192e+16
4,4,4,1.1554954899466977e+18,,,150.0,420.0,400.0,2170.0,16820.0,1040.0,510.0,0.0,0.0,0.0
5,5,5,1.155499306763346e+18,,,30.0,280.0,90.0,370.0,10030.0,4280.0,230.0,500.0,1.1109999656677246e+16,1818000030517578.0
6,6,6,1.155500613414871e+18,,,20.0,630.0,180.0,990.0,51600.0,270.0,400.0,0.0,0.0,0.0
7,7,7,1.1555073214784965e+18,,,310.0,220.0,150.0,870.0,490.0,3280.0,0.0,0.0,0.0,0.0
8,8,8,1.1555089636659405e+18,,,20.0,540.0,440.0,1820.0,1350.0,1430.0,0.0,0.0,0.0,0.0
9,9,9,1.1555090091028849e+18,,,140.0,350.0,580.0,2540.0,180.0,1770.0,10.0,0.0,0.0,0.0
10,10,10,1.1555132717488742e+18,,,90.0,520.0,190.0,730.0,38420.0,7230.0,1410.0,0.0,0.0,0.0
11,11,11,1.15551864334771e+18,,,30.0,540.0,540.0,2690.0,100.0,0.0,0.0,0.0,0.0,0.0
12,12,12,1.1555188913738135e+18,,,20.0,640.0,290.0,1480.0,108730.0,10820.0,3940.0,0.0,0.0,0.0
13,13,13,1.155520810536194e+18,,,40.0,540.0,550.0,2630.0,100.0,0.0,0.0,0.0,0.0,0.0
14,14,14,1.155523961934844e+18,,,50.0,530.0,130.0,650.0,30.0,200.0,0.0,125.0,1.1109999656677246e+16,1.1760000228881836e+16
15,15,15,1.1555346691710894e+18,,,0.0,620.0,110.0,480.0,37400.0,31810.0,1100.0,0.0,0.0,0.0
16,16,16,1.155536823566733e+18,,,160.0,400.0,610.0,2620.0,100.0,0.0,0.0,0.0,0.0,0.0
17,17,17,1.1555390911922583e+18,,,40.0,440.0,110.0,580.0,4000.0,6810.0,10.0,0.0,0.0,0.0
18,18,18,1.1555418159128005e+18,,,20.0,630.0,170.0,980.0,1770.0,11060.0,50.0,0.0,0.0,0.0
19,19,19,1.1555496240333005e+18,,,60.0,450.0,450.0,2260.0,3070.0,1400.0,10.0,0.0,0.0,0.0
20,20,20,1.1555500018939123e+18,,,420.0,190.0,310.0,1750.0,750.0,1250.0,40.0,0.0,0.0,0.0
21,21,21,1.1555528053162025e+18,,,30.0,640.0,350.0,1840.0,28940.0,43370.0,1160.0,200.0,2.221999931335449e+16,2.1049999237060548e+16
22,22,22,1.1555530025702072e+18,,,30.0,640.0,350.0,1840.0,28940.0,43370.0,1160.0,200.0,2.221999931335449e+16,2.1049999237060548e+16
23,23,23,1.1555562392140308e+18,,,40.0,600.0,440.0,2090.0,12290.0,2840.0,420.0,100.0,1.1109999656677246e+16,1.0529999732971192e+16
24,24,24,1.1555578021459968e+18,,,10.0,530.0,510.0,2140.0,3280.0,8130.0,60.0,100.0,1.1109999656677246e+16,1.0529999732971192e+16
25,25,25,1.155558090936324e+18,,,120.0,370.0,160.0,720.0,1920.0,3390.0,0.0,0.0,0.0,0.0
26,26,26,1.155566193299927e+18,,,110.0,80.0,30.0,180.0,360.0,550.0,0.0,0.0,0.0,0.0
27,27,27,1.155568825179484e+18,,,30.0,520.0,140.0,740.0,33350.0,9310.0,1460.0,0.0,0.0,0.0
28,28,28,1.1555778512461865e+18,,,0.0,520.0,450.0,1980.0,20.0,520.0,0.0,0.0,0.0,0.0
29,29,29,1.155583227547005e+18,,,40.0,440.0,110.0,580.0,290.0,1050.0,150.0,0.0,0.0,0.0
30,30,30,1.1555874851388498e+18,,,30.0,580.0,200.0,1010.0,9080.0,15730.0,880.0,0.0,0.0,0.0
31,31,31,1.1555891644124283e+18,,,50.0,680.0,200.0,870.0,9540.0,14300.0,180.0,0.0,0.0,0.0
32,32,32,1.1555897104520724e+18,,,10.0,480.0,480.0,2460.0,1090.0,2190.0,0.0,0.0,0.0,0.0
33,33,33,1.155601150361686e+18,,,80.0,540.0,150.0,750.0,1590.0,3980.0,0.0,0.0,0.0,0.0
