,tweet_id,priority,postCategories_x,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
0,1.1556791369432307e+18,0.0,0.0,20.0,630.0,190.0,1000.0,145000.0,13700.0,0.0,0.0,0.0,0.0
1,1.155712458113372e+18,0.0,0.0,40.0,580.0,150.0,740.0,700.0,7030.0,10.0,0.0,0.0,0.0
2,1.1557904574709678e+18,0.0,0.0,70.0,500.0,430.0,2300.0,37260.0,10130.0,7990.0,0.0,0.0,0.0
3,1.1558104155967035e+18,0.0,0.0,20.0,630.0,180.0,990.0,679280.0,393110.0,13300.0,0.0,0.0,0.0
4,1.1558473460282573e+18,0.0,0.0,60.0,530.0,460.0,2370.0,18320.0,33710.0,190.0,0.0,0.0,0.0
5,1.1558784150792888e+18,0.0,0.0,90.0,420.0,140.0,580.0,13000.0,290.0,10.0,200.0,1.1109999656677246e+16,1.4289999961853028e+16
6,1.1559016430048297e+18,0.0,0.0,40.0,600.0,410.0,2160.0,10880.0,24810.0,40.0,100.0,1.1109999656677246e+16,1.0529999732971192e+16
7,1.155903304171266e+18,0.0,0.0,20.0,630.0,170.0,980.0,550.0,1010.0,0.0,0.0,0.0,0.0
8,1.1559418467799777e+18,0.0,0.0,90.0,420.0,140.0,580.0,31720.0,40160.0,150.0,200.0,1.1109999656677246e+16,1.4289999961853028e+16
9,1.15597358843383e+18,0.0,0.0,90.0,420.0,140.0,580.0,20.0,30.0,20.0,200.0,1.1109999656677246e+16,1.4289999961853028e+16
10,1.1560122074669588e+18,0.0,0.0,10.0,670.0,380.0,1800.0,9380.0,7010.0,50.0,100.0,1.1109999656677246e+16,1.0529999732971192e+16
11,1.156040550467813e+18,0.0,0.0,20.0,630.0,170.0,980.0,2020.0,1230.0,40.0,0.0,0.0,0.0
12,1.1561415379962263e+18,0.0,0.0,80.0,400.0,90.0,520.0,35540.0,10740.0,2680.0,0.0,0.0,0.0
13,1.1561424838663045e+18,0.0,0.0,90.0,420.0,140.0,580.0,18700.0,29230.0,60.0,200.0,1.1109999656677246e+16,1.4289999961853028e+16
14,1.1562270416263373e+18,0.0,0.0,20.0,630.0,170.0,980.0,190.0,310.0,0.0,0.0,0.0,0.0
15,1.156247752847659e+18,0.0,0.0,100.0,60.0,80.0,650.0,3220.0,2710.0,10.0,1.4289999961853028e+16,1.1109999656677246e+16,125.0
16,1.1562621950319452e+18,0.0,0.0,100.0,60.0,80.0,650.0,1146710.0,4820.0,37160.0,1.4289999961853028e+16,1.1109999656677246e+16,125.0
17,1.1562648529705452e+18,0.0,0.0,100.0,60.0,80.0,650.0,2120.0,160.0,250.0,1.4289999961853028e+16,1.1109999656677246e+16,125.0
18,1.1562723339775263e+18,0.0,0.0,60.0,570.0,130.0,460.0,3520.0,19350.0,0.0,0.0,0.0,0.0
19,1.1562780282315735e+18,0.0,0.0,70.0,420.0,460.0,2440.0,2440.0,5600.0,10.0,0.0,0.0,0.0
20,1.156287351984988e+18,0.0,0.0,20.0,540.0,340.0,1620.0,82950.0,150.0,5380.0,200.0,2.221999931335449e+16,2.1049999237060548e+16
21,1.156299068466856e+18,0.0,0.0,100.0,60.0,80.0,650.0,9410.0,10280.0,240.0,1.4289999961853028e+16,1.1109999656677246e+16,125.0
22,1.156327305708544e+18,0.0,0.0,40.0,600.0,170.0,850.0,3761170.0,27790.0,43930.0,1.1109999656677246e+16,1.1109999656677246e+16,1.1109999656677246e+16
23,1.1564012118867026e+18,0.0,0.0,40.0,600.0,190.0,870.0,290160.0,142900.0,5720.0,1.1109999656677246e+16,1.1109999656677246e+16,1.1109999656677246e+16
