eventID,postID,postPriority,num,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10
16,72676276212731904,2.5,3,7.0,10.0,17.0,0,0,0,0,0,0,0
16,72678400833228800,10.0,4,22.0,18.0,10.0,17.0,0,0,0,0,0,0
16,72682396750848000,2.5,2,21.0,12.0,0,0,0,0,0,0,0,0
16,72693931619528704,5.0,3,23.0,10.0,17.0,0,0,0,0,0,0,0
16,72698562223407104,2.5,3,23.0,10.0,12.0,0,0,0,0,0,0,0
16,72760614661009408,2.5,2,4.0,12.0,0,0,0,0,0,0,0,0
16,72787965184716800,7.5,4,23.0,22.0,10.0,17.0,0,0,0,0,0,0
16,72827930719432704,2.5,1,12.0,0,0,0,0,0,0,0,0,0
16,72864403120324608,10.0,4,20.0,23.0,10.0,16.0,0,0,0,0,0,0
16,72871116724633600,10.0,3,23.0,22.0,17.0,0,0,0,0,0,0,0
16,73023697123938304,7.5,4,5.0,23.0,10.0,17.0,0,0,0,0,0,0
16,73050416832708608,7.5,4,8.0,22.0,10.0,17.0,0,0,0,0,0,0
16,73121834727518208,5.0,3,23.0,10.0,17.0,0,0,0,0,0,0,0
16,73127029050060800,10.0,6,14.0,8.0,6.0,15.0,18.0,1.0,0,0,0,0
16,73151882612326400,10.0,4,8.0,18.0,17.0,16.0,0,0,0,0,0,0
16,73185763981918208,2.5,1,21.0,0,0,0,0,0,0,0,0,0
16,73199761230020608,2.5,2,10.0,12.0,0,0,0,0,0,0,0,0
16,73203170666491904,2.5,2,21.0,12.0,0,0,0,0,0,0,0,0
16,73203823405051904,5.0,4,8.0,25.0,18.0,17.0,0,0,0,0,0,0
16,73212444264243200,7.5,3,23.0,6.0,17.0,0,0,0,0,0,0,0
16,73214313971712000,10.0,5,8.0,6.0,10.0,1.0,17.0,0,0,0,0,0
16,73216000727859200,2.5,2,4.0,12.0,0,0,0,0,0,0,0,0
16,73231443630899200,5.0,3,23.0,6.0,17.0,0,0,0,0,0,0,0
16,73255585100996608,5.0,4,23.0,15.0,10.0,17.0,0,0,0,0,0,0
16,73272572766199808,5.0,2,6.0,1.0,0,0,0,0,0,0,0,0
16,73371428308787200,2.5,2,23.0,21.0,0,0,0,0,0,0,0,0
16,73379299666833408,5.0,3,23.0,22.0,17.0,0,0,0,0,0,0,0
16,73383309626982400,2.5,2,21.0,12.0,0,0,0,0,0,0,0,0
16,73429563790737408,7.5,5,23.0,22.0,18.0,1.0,17.0,0,0,0,0,0
16,73432425660825600,7.5,3,8.0,6.0,17.0,0,0,0,0,0,0,0
16,73443495360200704,2.5,3,23.0,15.0,17.0,0,0,0,0,0,0,0
16,73454830265442304,5.0,3,23.0,25.0,17.0,0,0,0,0,0,0,0
16,73471289871966208,5.0,3,8.0,10.0,17.0,0,0,0,0,0,0,0
16,73491964103884800,2.5,2,23.0,1.0,0,0,0,0,0,0,0,0
16,73501193468518400,5.0,4,23.0,25.0,15.0,17.0,0,0,0,0,0,0
16,73508848387891200,5.0,5,8.0,22.0,10.0,1.0,17.0,0,0,0,0,0
16,73533755947618304,2.5,2,21.0,12.0,0,0,0,0,0,0,0,0
16,73544881968128000,5.0,3,23.0,22.0,17.0,0,0,0,0,0,0,0
16,73559501835468800,2.5,2,1.0,12.0,0,0,0,0,0,0,0,0
16,73562498883784704,7.5,4,8.0,25.0,10.0,17.0,0,0,0,0,0,0
